,Tweets
155,"€8.7 billion agricultural output produced in Ireland was bought by domestically-owned food and drink enterprises for processing

https://t.co/T4rzBXnho1

#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Crops #Agronomy #ValueChainAnalysis https://t.co/rHep9p7a6l"
156,‘Standing at a stall is not for me – this had to be a commercially viable cheese with export potential’ #irishbusiness https://t.co/XftFHbOOTt #agribusiness #entrepreneur #ireland
157,@Rubberbandits https://t.co/7qgw5FGj7z
158,@Expat_Beagle_Oz Like what they did in Ireland??? If I didn't have schizophrenia I would like to get a job on a agribusiness type of farm. But I wouldn't be able to do the work. shit illness I hate it. It makes you disabled but doesn't get you sympathy. My family owned farms before.
159,"According to figures from the Environmental Protection Agency (EPA), agriculture was responsible for more than 35 per cent of Ireland’s greenhouse gas emissions in 2019 and dairy production is a significant contributor.
https://t.co/T8xwnwR3GB via @IrishTimes"
160,"And I'm going to labour this point because at the moment we import loads of food we could and should be growing here.  In 2017, we imported 72,000 tonnes of potatoes while exporting all that beef. To paraphrase Michael Healy Rae, does that make sense?
https://t.co/hBNY4WHowi"
161,"Cereal Production down 16% in 2020

https://t.co/LdQ50Ds49W 

#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Tillage #Crops #Agronomy #CensusofAgriculture https://t.co/Dl7fxgcFTm"
162,"Frank Convery, Professor @ucddublin, says Ireland &amp; Aotearoa share similar #climatechange challenges - “If we improve our performance then we’ll thrive. If we don’t, we won’t"".

Read a wrap up of our recent online session with Frank by @FarmersWeeklyNZ: https://t.co/LkHR68kIqc"
163,"Brexit cuts UK food and drink exports to EU fall by almost half 

Sales to Ireland, UK’s biggest market, plunge more than two-thirds

#ToryBrexitDisaster 
https://t.co/3bhHrwuS1P via @IrishTimes"
164,"Sales to Ireland, UK’s biggest market, plunge more than two-thirds https://t.co/ROOtzKBB25 via @IrishTimesBiz"
165,"Disgrace and disaster for Ireland ⁦@RBoydBarrett⁩ ⁦@SarahAMcInerney⁩

Kerry Group seals €819m deal to sell consumer foods unit to US firm@@b https://t.co/q1tXi5vLwI"
166,The Restaurants Association of Ireland (@RAI_ie) is seeking to legally challenge indoor dining restrictions https://t.co/TsqNrhvUBC via @IrishTimes
167,"@jonnyDa90681310 @WhatsEuroPinion Incidentally it may also prevent the kind of alignment on food standards that would make the Northern Ireland protocol more workable.
The Brexiters want to paint the UK into a corner. No future EU deal, a hard border in Ireland, no resistance to US agribusiness demands."
168,"@uk_domain_names It reminds me of how the vile @pritipatel wanted to starve the Irish, perhaps forgetting they are the second most food-secure nation on the planet....

#brexitdisaster #toryscum

https://t.co/vjW39pst7T"
169,"If Ireland were an independent country then it would be free to negotiate and sign its own trade agreements. 

https://t.co/vaFOL7P7FX"
170,"@Hogojohnnie1 @scottishlass1st Just like Ireland? 🤣

https://t.co/KJVblWtpGH"
171,"Agricultural output price index up 13.6% in the year to April 2021

https://t.co/VidW3dQHCn 

#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Livestock #Cattle #Sheep #Pigs #Dairy #Milk #Tillage #Crops #Agronomy #CensusofAgriculture https://t.co/WWQdcFybTT"
172,"(7/8) BOTTOMS UP!

In lighter news  as pubs begin to reopen, more and more of us will get out and about over the summer.

I enjoy an occasional Guinness, so I'm looking forward to trying one of the brewer's new 0% stouts! 🙂 

That's available from July. 

https://t.co/uR3y5b9HTR"
173,There is no need whatsoever to import processed meat from Britain to Ireland. There is an over abundance of meat products in both parts of the country and there is actually a great opportunity here to encourage food and agribusiness industries across the island.
174,🤔 Non-alcoholic Guinness 0.0 to go on sale in Ireland from mid-July https://t.co/UOeAgRAWqK
175,Non-alcoholic Guinness 0.0 to go on sale in Ireland from mid-July https://t.co/A3oxTtW32E
176,"Non-alcoholic Guinness 0.0 to go on sale in Ireland from mid-July

https://t.co/DiLhGCOn7y"
177,Guinness 0.0 to go on sale in Ireland from mid-July https://t.co/WHGLs327I1 #craftbeer #beer #homebrew #hazyipa #ipa #beergeek #beeroclock
178,Non-alcoholic Guinness 0.0 to go on sale in Ireland from mid-July (via @IrishTimesBiz) https://t.co/paKbEV7LiR
179,https://t.co/v7NErwqn9t
180,That’s a yes from me!! @KeithyWalsh ? Guinness  0.0 to go on sale in Ireland from mid-July https://t.co/v2P39VVjpu
181,Why???? Non-alcoholic Guinness 0.0 to go on sale in Ireland from mid-July https://t.co/HpmnvlhQ0Z
182,Where’s the cold brew Guinness the yanks have!?  https://t.co/36UPi4jjBj
183,"FINALLY! 
https://t.co/QPb7XJrFXH"
184,Product was recalled after British launch due to microbiolgical contamination concerns https://t.co/ikNwlEe1ln via @IrishTimesBiz
185,Guinness 0.0 to go on sale in Ireland from mid-July https://t.co/K4zbDIYIFB via @IrishTimes
186,"Tomorrow Nicola Mitchell of @_LifeScientific will represent @EY_Ireland at the @EY_EOY #WEOY Awards on @CNBC 

To learn more about Nicola and Life Scientific, be sure to check out the below article 👇

https://t.co/fo2vhksKSb 

#EOYIreland #Unstoppables"
187,"Great to see the continued growth of the relationship between Ireland &amp; Zimbabwe as more opportunities in several areas of cooperation are explored. 🇮🇪 🇿🇼

#Agribusiness #RenewableEnergy

@FGilsenanIRL @HeraldZimbabwe 

https://t.co/spkV97lKbE"
188,"Irish Ambassador to Zim Fionnuala Gilsenan said there are a number of areas on the economic side, particularly in the agri-business sector and renewable energy that investors from Ireland cld invest in!

""Ireland targets agribusiness sector | The Herald"" https://t.co/2s4H5cyc5W"
189,#Zimbabwe’s lure as a prime destination for agribusiness has caught the attention of the Republic of #Ireland which is now seeking opportunities in the highly-rewarding sector through the engagement &amp; re-engagement efforts of the Second Republic #Harare @MoLAFWRR_Zim @agrinews3 https://t.co/aWu14IPmOs
190,(Ireland targets agribusiness sector) has been published on Bulls n Bears  - https://t.co/h8t8mg1DxQ https://t.co/xsqvTsfSJ6
191,Ireland targets agribusiness sector https://t.co/BMM3zEi7Uz
192,"In 1942, Michael Donnellan, politician on behalf of small farmers in Ireland, dismissed the rich and powerful saying ""...without the workers and producers, the country would starve in twenty-four hours"". But that was before globalisation and agribusiness."
193,"Comments from the IFA show a significant lack of insight into the problem created when we farm animals to use as our resources, not least the fact that we are depriving our children of their right to a healthy environment. https://t.co/v3GpRvApPf via @IrishTimes"
194,"An Irish co-founded start-up that has developed a healthier baby formula for the North American market has raised $15 million (€12.4 million) in investment. 🍼

#irishbusiness #Ireland #founder #CEO #startup #investment #growth #business #businesswoman
https://t.co/M6YLLrDAa6 https://t.co/V23a7xcm7T"
195,"'Farmers don’t recognise themselves in how they are portrayed'

Great to see #SustainingIreland in the Irish Times today. @IFAmedia 

https://t.co/C1RPyKL4C2"
196,Time to tell the public about the importance of Irish farming #ProudToFarm @IFAmedia @AgriAware https://t.co/gmJM8UriJa
197,"Vast majority of farmers in Ireland committed to climate action, says IFA president https://t.co/bs7QRfX8xr via @IrishTimes"
198,"Interesting - this article is filed under 'agribusiness and food' - not environment. A few thoughts (thread). 
1. Where in the media are farmers being represented thus??
2. Irish ag is predominantly livestock based. We import most of the food we eat and..

https://t.co/uLLnDRPpfM"
199,"Vast majority of farmers in Ireland committed to climate action, says IFA president https://t.co/JOUCdUzbDC via @IrishTimesBiz"
200,#Brexit has triggered a recent decline in #foodanddrink trade between UK and Ireland according to @CSOIreland https://t.co/PcWb9WpzFD https://t.co/dnHNkP6mUM
201,"Domestic Milk Intake up by 6.1% in April 2021

https://t.co/Xy4e4gMBaI 

#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Livestock #Cattle #MilkStatistics #MilkProduction #Dairy #Milk #CensusofAgriculture https://t.co/hwkf8IJHrS"
202,". @DoneDeal are currently recruiting for a passionate #agri Sales person to work closely with Ireland’s leading Agri and Plant Machinery dealers, distributors and manufacturers. Check out the role here: https://t.co/VoWPWiW4pk

#distilledsch #agritech #agrisales #agribusiness https://t.co/p08u4YemiP"
203,"Food manufacturers are rushing to hire trade experts to deal with continued difficulties getting products in and out of Northern Ireland due to Brexit.

#agribusiness #NI #Brexit #Trade #ImportExport
https://t.co/fYfsXvm14h"
204,"The number of sheep slaughtered during the period January to April 2021 decreased by 8.4%

https://t.co/p1dSj6cQjT 

#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Livestock #Cattle #Sheep #Pigs #Dairy #CensusofAgriculture https://t.co/SGCQrLoL4C"
205,#AGTECH #STARTUP #IRELAND:  State-backed agtech investor...is keen to back more Irish start-ups after announcing the second close of a near €50 million fund.https://t.co/85lq1jSXwG https://t.co/uPvahobckU
206,"Fighting Stigma: Yield Lab to back more Irish start-ups after second close of near €50m fund: The first close of the fund in mid-2019 saw Enterprise Ireland among the main ... and Equimetrics, whose activities centre on animal health monitoring. https://t.co/W8kfvMfJ2S"
207,"Enterprise Ireland-backed #agtech investor @TheYieldLab is keen to back more Irish start-ups after announcing the second close of a near €50 million fund.

See @IrishTimes for more: https://t.co/wNV4RFCsf6 https://t.co/7y7ClBFLRo"
208,"@ranil @tradegovuk @trussliz @GregHands @GerryGrimstone @grahamstuart @tradegovukAUS @tradegovukNZL @Foodanddrinkfed @ScotchWhiskySWA @BombaySapphire So, we have grown by £484m with Aus/NZ over 10 years, mostly while in the EU, and now we've lost about half that just with Ireland since leaving... 🤦‍♂️https://t.co/vuuus8fS6c"
209,"@WalshmrG @rte IFAC never spoke out when Richard Bruton diverted huge funding to the likes of the #IDA to promote multinational tech jobs to Ireland. As we rebuilt our Country from the banking recession, they never spoke out loud about investment to agribusiness and food production."
210,"@Aldi_Ireland 
Agribusiness giants in Brazil are stealing indigenous peoples’ land, burning the rainforest &amp; threaten to wipe out uncontacted tribes.

Will you suspend all purchases of agribusiness products from Brazil until indigenous rights are upheld?

#StopBrazilsGenocide"
211,"@freestyler8701 @KJH19322252 @nealerichmond Plus Ireland is the second most food-secure nation on the planet. It produces enough food to feed 40 million people. The U.K. on the other hand cannot feed itself and needs to import food.

The idea that the U.K. could starve Ireland is utterly ludicrous.

https://t.co/L8y2XYS9Xc"
212,Tune into @bbcradioulster @BBCRichardM from 5.30pm where the @farmersjournal's @PhelimONeillFJ will be discussing the contents of this year's @farmersjournal /@KPMG_Ireland agribusiness report which is available inside this week's paper. #Covid19 #Brexit https://t.co/8HjEny8jDs
213,Tune into @bbcradioulster @BBCRichardM from 5.30pm where the @farmersjournal's @PhelimONeillFJ will be discussing the contents of this year's @farmersjournal /@KPMG_Ireland agribusiness report which is available inside this week's paper. #Covid19 #Brexit https://t.co/dYT9NmonVK
214,Tune into @gbayfm @galwaytalks now to hear the  @farmersjournal's @PhelimONeillFJ discussing the contents of this year's @farmersjournal/@KPMG_Ireland agribusiness report which is available inside this week's paper. #Covid19 #Brexit https://t.co/iAlFqeDOnB
215,"Prior to his tragic death just over two week's ago, Denis Lynn spoke to Lorcan Allen about the Finnebrogue story for the IFJ/KPMG AgriBusiness Report.@KPMG_Ireland 
https://t.co/KNBwEm1GjM"
216,"Tune into @clarefm now to hear the @farmersjournal's 
@PhelimONeillFJ discussing the contents of this year's @farmersjournal/@KPMG_Ireland  agribusiness report which is available inside this week's paper. #Covid19 #Brexit https://t.co/ZaS1vdzy8v"
217,Tune into @todayfm's @lstwrd at 6.10pm this evening to hear the @farmersjournal's @PhelimONeillFJ and @KPMG_Ireland's Tom McEvoy discussing the contents of this year's agribusiness report which is available inside this week's @farmersjournal. #Covid19 #Brexit https://t.co/fRKsdBSFAV
218,Looking forward to discussing the @farmersjournal and @KPMG_Ireland Agribusiness report with @cooper_m later https://t.co/FmZUG7YFND
219,@KeohaneDan Irish Kerrygold butter is 2nd best-selling butter in US - last time I checked Ireland was still in EU  https://t.co/yOou9jqqpC
